id,tweet,cleanTweets
1,Ebola Exposure?: CDC Worker 'Remains Well' http://nbcnews.to/1tmYMkv,ebola exposure cdc worker remains well
2,Pregnant Woman Taken Off Life Support in Ireland http://nbcnews.to/1BcYvPG,pregnant woman taken off life suppoin ireland
3,Money from #IceBucketChallenge still flowing to ALS Association where leaders remain awestruck by gush of goodwill: http://ow.ly/GseY3,money from ice bucket challenge still flowing to als association where leaders remain awestruck by gush of goodwill
4,Caramel Apples Recalled After Listeria Deaths http://nbcnews.to/1EqpPjj,caramel apples recalled after listeria deaths
5,Ice Bucket Challenge Still Rains Bucks on ALS http://nbcnews.to/1thdMAd,ice bucket challenge still rains bucks on als
6,"Following mistake and possible exposures at #CDC #Ebola lab, health of involved staff to be monitored for 21 days. http://ow.ly/GpzmS",following mistake and possible exposures at cdc ebola lab health of involved staff to be monitored for number days
7,CDC Reports Possible Ebola Exposure at Containment Lab http://nbcnews.to/1CLABvX,cdc reports possible ebola exposure at containment lab
8,Why Stress-Fueled Indulgences Don't Bring Joy http://nbcnews.to/1vbYiYB,why stress fueled indulgences do not bring joy
9,Delayed Concussions? 'Common' and 'Tricky' http://nbcnews.to/1EdtTDx,delayed concussions common and tricky
10,Gay Groups Decry FDA Rule Requiring No Sex to Give Blood http://nbcnews.to/1zgmtY8,gay groups decry fda rule requiring no sex to give blood
11,FDA Plans to Ease Ban on Blood Donations by Gay Men http://nbcnews.to/1CDgVKG,fda plans to ease ban on blood donations by gay men
12,FDA Proposes Easing Ban on Blood Donations by Gay Men http://nbcnews.to/1zuy6Qa,fda proposes easing ban on blood donations by gay men
13,Nearly 2 Million More People Choose ObamaCare http://nbcnews.to/13BkCEA,nearly number million more people choose obamacare
14,Beyond Narcan: Why the Life-Saving Heroin Antidote Isn't a Cure http://nbcnews.to/16NjUWM,beyond narcan why the life saving heroin antidote is not a cure
15,Joan Lunden: 'I Can See the Finish Line' in Cancer Battle http://nbcnews.to/1ztxbzv,joan lunden i can see the finish line in cancer battle
16,Joan Lunden: 'I Can See the Finish Line' In Cancer Battle http://nbcnews.to/1ADCoE6,joan lunden i can see the finish line in cancer battle
17,Deadly 2015: Can Ebola's Rampage in Africa Be Stopped? http://nbcnews.to/1B17DXv,deadly number can ebolas rampage in africa be stopped
18,Boy With Rare Disease Donates His Toys to UCLA Hospital http://nbcnews.to/1B0cRTp,boy with rare disease donates his toys to ucla hospital
19,Secrets From World's Oldest Yoga Teacher: 'I Don't Believe in Age' http://nbcnews.to/1t22uzR,secrets from worlds oldest yoga teacher i do not believe in age
20,Obamacare by the Numbers: What a Difference a Year Makes http://nbcnews.to/1znY0Fm,obamacare by the numbers what a difference a year makes
21,California Gets Worst Whooping Cough Outbreak in Decades http://nbcnews.to/1AMM1yo,california gets worst whooping cough outbreak in decades
22,"Aging Tsunami: As Crisis Grows, a Search for Help http://nbcnews.to/1x90YgE",aging tsunami as crisis grows a search for help
23,What's This 104-Year-Old's Formula for Longevity? http://nbcnews.to/13rkdob,whats this number year olds formula for longevity
24,Star Goalie's New Role Inspires Others With Tourette's http://nbcnews.to/1z8qKg6,star goalies nerole inspires others with tourette s
25,How One Woman Makes a Difference Against Ebola http://nbcnews.to/1CncO5i,hoone woman makes a difference against ebola
26,Aging Tsunami: Montana's Aging Crisis Takes a Village http://nbcnews.to/1AqCGOg,aging tsunami montanas aging crisis takes a village
27,Flu Cases Surge in the US http://nbcnews.to/1wOCXJS,flu cases surge in the us
28,Meet Four People Who Lost 100 Pounds -- and Kept It Off http://nbcnews.to/1wyA1kF,meet four people who lost number pounds and kept it off
29,Flu Season Is Off to an Early Start This Year: CDC http://nbcnews.to/1C9CKEm,flu season is off to an early stathis year cdc
30,"Caramel Apples Linked to Five Deaths, CDC Says http://nbcnews.to/1Gz4YrQ",caramel apples linked to five deaths cdc says
31,"Caramel Apples Linked to 5 Deaths, CDC Says http://nbcnews.to/1zFqgku",caramel apples linked to number deaths cdc says
32,Could Christmas Worsen Ebola's Spread? http://nbcnews.to/1H04M3c,could christmas worsen ebolas spread
33,That Cheap Old Car Might Carry Deadly Cost for Teens http://nbcnews.to/1zCSIoa,that cheap old car might carry deadly cost for teens
34,One More Drug For Ebola Treatment Pipeline? http://nbcnews.to/1zCSJIP,one more drug for ebola treatment pipeline
35,"Could Ibuprofen Extend Lives for Humans, Too? http://nbcnews.to/1GvQOYp",could ibuprofen extend lives for humans too
36,Baby Has 'Worst Disease You've Never Heard Of' http://nbcnews.to/13fPjPk,baby has worst disease you have never heard of
37,Air Pollution May Nearly Double Autism Risk http://nbcnews.to/13eeS3x,air pollution may nearly double autism risk
38,New Stroke Treatment: Removing Clot Can Limit Disability http://nbcnews.to/1zxmFF4,nestroke treatment removing clot can limit disability
39,103-Year-Old Doctor on Longevity: 'Exercise is Over-rated' http://nbcnews.to/1w0qaPx,number year old doctor on longevity exercise is over rated
40,Feds File Murder Charges in Fungal Meningitis Outbreak http://nbcnews.to/1J3vHz5,feds file murder charges in fungal meningitis outbreak
41,Smartphone Controlled Hands Offer Assisted Control http://nbcnews.to/1GQv1ZY,smartphone controlled hands offer assisted control
42,"Transgender Teacher on Joy, Heartbreak of Life as a Woman http://nbcnews.to/1wL1iz3",transgender teacher on joy heartbreak of life as a woman
43,"Yes, You Lose Weight by Breathing: Study http://nbcnews.to/1DMWm2J",yes you lose weight by breathing study
44,Arrests Made in Meningitis Outbreak That Killed 60 http://nbcnews.to/1vYZuOU,arrests made in meningitis outbreak that killed number
45,Children's Cartoons Are Rife With Death and Murders: Study http://nbcnews.to/1vXHpki,childrens cartoons are rife with death and murders study
46,Children's Cartoons Are Rife With Death and Murders: Study http://nbcnews.to/1DJT7t8,childrens cartoons are rife with death and murders study
47,Children's Cartoons Are Rife With Murders: Study http://nbcnews.to/1BUrMj7,childrens cartoons are rife with murders study
48,Most U.S. Doctors Now Support Assisted Suicide: Survey http://nbcnews.to/1ADA4KZ,most us doctors nosuppoassisted suicide survey
49,Mind-Controlled Robot Arm Wins at Rock-Paper-Scissors http://nbcnews.to/1A7R4eb,mind controlled robot arm wins at rock paper scissors
50,'Strong Start': Millions More Sign Up for Obamacare http://nbcnews.to/1z0NVOp,strong sta millions more sign up for obamacare
51,Never Too Young: Seeking an Early Test for Alzheimer's http://nbcnews.to/1wHXiPy,never too young seeking an early test for alzheimer s
52,FDA Warns Against Ultrasounds for 'Keepsake' Images http://nbcnews.to/1wHa2G8,fda warns against ultrasounds for keepsake images
53,U.S. Kids Favor E-Cigarettes Over Traditional Ones http://nbcnews.to/1sA9lAq,us kids favor e cigarettes over traditional ones
54,Mother of Surprise Quads: 'Luckiest Mom in the Whole World' http://nbcnews.to/1wW0MkP,mother of surprise quads luckiest mom in the whole world
55,New Test Detects Heart Disease Risk for Black Women http://nbcnews.to/1zpmI5B,netest detects headisease risk for black women
56,Not Just Skin Cancer: Indoor Tanning Sends Hundreds to ERs http://nbcnews.to/1AA0EEL,not just skin cancer indoor tanning sends hundreds to ers
57,Angelina Jolie's Chickenpox Can Be Serious for Adults http://nbcnews.to/1ySA9It,angelina jolies chickenpox can be serious for adults
58,What's Wrong With Wyatt? Baby's Disease Baffles Parents http://nbcnews.to/12V64zq,whats wrong with wyatt babys disease baffles parents
59,"Toddler Finally Hears Mom's Voice, Thanks To Implant http://nbcnews.to/1ITw4Mk",toddler finally hears moms voice thanks to implant
60,Misinformed: Prenatal Tests Have High Failure Rate http://nbcnews.to/12PVERq,misinformed prenatal tests have high failure rate
61,Single Ebola Outbreak Gives Deadly Disease New Life http://nbcnews.to/1DrnVP4,single ebola outbreak gives deadly disease nelife
62,Food to Help Fight the Flu http://nbcnews.to/16gczPk,food to help fight the flu
63,ThisTown May Hold the Secrets of Longevity http://nbcnews.to/1uv1MVu,thistown may hold the secrets of longevity
64,"'Dude, Watch This!' Are men really more idiotic? http://nbcnews.to/1yF1MJW",dude watch this are men really more idiotic
65,Nurse on Trial: Force-Feeding Case at Guantanamo http://nbcnews.to/1uqX6jt,nurse on trial force feeding case at guantanamo
66,Joint Pain Interrupts Ebola Vaccine Trial http://nbcnews.to/1vW2Sz6,joint pain interrupts ebola vaccine trial
67,Once Obese But Starving Girl Sees Healthy Future http://nbcnews.to/12Sggbm,once obese but starving girl sees healthy future
68,Burning the Candle: Most US Kids Lack Sleep http://nbcnews.to/1wE7An7,burning the candle most us kids lack sleep
69,"Breast Cancer Prevention Last Decades, Studies Find http://nbcnews.to/1us90dY",breast cancer prevention last decades studies find
70,U.S. Nurse Being Watched at NIH for Ebola http://nbcnews.to/16aBIuy,us nurse being watched at nih for ebola
71,'Biggest Loser' Trainer on How to Avoid Holiday Weight Gain http://nbcnews.to/169Wr1y,biggest loser trainer on hoto avoid holiday weight gain
72,"Bad Luck: Men With Poor Semen Have Poorer Health, Too http://nbcnews.to/1AhrYaT",bad luck men with poor semen have poorer health too
73,New HPV Vaccine Broadens Cancer Protection http://nbcnews.to/1wel2vP,nehpv vaccine broadens cancer protection
74,Phthalates in Food Packaging Linked With Lower IQ http://nbcnews.to/1GdWhmy,phthalates in food packaging linked with lower iq
75,Phthalates in Food Packaging Linked With Lower IQ http://nbcnews.to/1z7zdTr,phthalates in food packaging linked with lower iq
76,Breast Cancer Patients May Get Longer Radiation Than Needed http://nbcnews.to/1IAYevF,breast cancer patients may get longer radiation than needed
77,Too Much Radiation? Women Could Get Less for Breast Cancer http://nbcnews.to/1wguqhm,too much radiation women could get less for breast cancer
78,High Risk: 100-Fold Ebola Rate for Health Care Workers http://nbcnews.to/1zLGVlm,high risk number fold ebola rate for health care workers
79,Huge Ebola Risk Faces Sierra Leone Health Care Workers http://nbcnews.to/134p9j7,huge ebola risk faces sierra leone health care workers
80,Could the Chemical BPA Raise Your Blood Pressure? http://nbcnews.to/12jzZAW,could the chemical bpa raise your blood pressure
81,Childhood Illness Fells Mighty Hockey Players http://nbcnews.to/12YHKNu,childhood illness fells mighty hockey players
82,Billionaire Paul Allen Pledges Millions for Cell Science http://nbcnews.to/1yIcuhF,billionaire paul allen pledges millions for cell science
83,'20/20 Hindsight': Doc Who Sent Ebola Patient Home Says Care Was Appropriate http://nbcnews.to/1yt1rFi,number number hindsight doc who sent ebola patient home says care was appropriate
84,Ebola 'Czar' to Return to Private Sector http://nbcnews.to/1ysGSsy,ebola czar to return to private sector
85,"Want an Easy, Healthy Breakfast? Try These 3 Recipes http://nbcnews.to/12zJ6NI",want an easy healthy breakfast try these number recipes
86,Obama Visits Walter Reed Hospital For Sore Throat http://nbcnews.to/1wcQZ9y,obama visits walter reed hospital for sore throat
87,Oxygen Therapy or Hot Air? Treatment Doesn't Pass the Test http://nbcnews.to/1q7Dy8h,oxygen therapy or hot air treatment does not pass the test
88,Oxygen Therapy or Hot Air? Treatment Doesn't Pass the Test http://nbcnews.to/1wb4ruD,oxygen therapy or hot air treatment does not pass the test
89,Testing for an Incurable Disease: Would You Want to Know? http://nbcnews.to/1vpKh9x,testing for an incurable disease would you want to kno
90,Use of Unproven Stem Cell Therapy Questioned http://nbcnews.to/1zwjrk5,use of unproven stem cell therapy questioned
91,Is 'Technoference' Hurting Your Relationship http://nbcnews.to/1yw6VTl,is technoference hurting your relationship
92,This Season's Flu Vaccine Is Less Effective http://nbcnews.to/1yYc5HR,this seasons flu vaccine is less effective
93,Mutant Flu: Do You Still Need a Vaccine?  http://nbcnews.to/1yXb42M,mutant flu do you still need a vaccine
94,Y Quit? Smoking Destroys Male Chromosome http://nbcnews.to/1yXb2Ie,y quit smoking destroys male chromosome
95,Whooping Cough Epidemic? Get Used to It http://nbcnews.to/1vS2Ojt,whooping cough epidemic get used to it
96,Why Bother Getting Flu Shot? What You Need to Know  http://nbcnews.to/1zWpiiC,why bother getting flu shot what you need to kno
97,Dallas Spent $27K to Care for Ebola Nurse's Dog http://nbcnews.to/1I59osd,dallas spent money to care for ebola nurses dog
98,Young Cancer Patients Benefit From More Teen-Friendly Treatment Centers http://nbcnews.to/1yVJzX8,young cancer patients benefit from more teen friendly treatment centers
