emotion,emo,file, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
anger,2,00000.jpg,0,0,4.52,0,1.85,2.99,0,1.77,0,0,1.1,3.72,0,1.14,0,0.94,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
surprise,5,00001.jpg,1.11,0.83,2.51,0.69,1.06,1,0,2.2,0.84,0.56,0.91,1.68,0,0.38,2.31,1.71,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
happiness,1,00003.jpg,1.33,1.24,1,0.69,0.44,0.4,0,1.61,0.84,0.68,0.54,1.01,0,0.61,2.31,1.71,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0
neutral,3,00004.jpg,0.77,0.75,0.54,0.08,0.75,1.28,0,1.43,1.5,1.24,0.34,0.57,0,0.61,2.44,0.69,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,00005.jpg,0.75,0.75,0.05,0,0.5,1.48,0,0.87,1.39,1.3,0,0.57,0,0.61,1.67,0.53,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,00006.jpg,0.54,0.35,0.05,0,1.08,1.82,0,1.27,2.65,1.76,0,0,0,0,2.43,0.23,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,00007.jpg,0.02,0,0,0,1.21,1.47,0,0.82,2.16,1.2,0,0.62,0.01,0,1.79,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
neutral,3,00008.jpg,0,0,0.05,0,1.05,1.27,0,0.66,1.64,0.6,0,1.15,0.01,0.21,1.68,0.36,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
neutral,3,00009.jpg,0,0,0.5,0,1.05,1.57,0,0.62,0.71,0.38,0,1.56,0.01,0.29,1.62,1.15,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
happiness,1,00010.jpg,0,0,0.5,0,1.73,1.84,0,1.14,1.33,0.71,0,0.94,0,0.29,2.2,1.15,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
