emotion,emo,file,au1,au2,au3,au4,au5,au6,au7,au8,au9,au10,au11,au12,au13,au14,au15,au16,au17,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10,auc11,auc12,auc13,auc14,auc15,auc16,auc17,auc18
anger,1,00000.jpg,0,0,4.52,0,1.85,2.99,0,1.77,0,0,1.1,3.72,0,1.14,0,0.94,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
surprise,4,00001.jpg,1.11,0.83,2.51,0.69,1.06,1,0,2.2,0.84,0.56,0.91,1.68,0,0.38,2.31,1.71,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
happiness,0,00003.jpg,1.33,1.24,1,0.69,0.44,0.4,0,1.61,0.84,0.68,0.54,1.01,0,0.61,2.31,1.71,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0
neutral,2,00004.jpg,0.77,0.75,0.54,0.08,0.75,1.28,0,1.43,1.5,1.24,0.34,0.57,0,0.61,2.44,0.69,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,0,00005.jpg,0.75,0.75,0.05,0,0.5,1.48,0,0.87,1.39,1.3,0,0.57,0,0.61,1.67,0.53,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,0,00006.jpg,0.54,0.35,0.05,0,1.08,1.82,0,1.27,2.65,1.76,0,0,0,0,2.43,0.23,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,0,00007.jpg,0.02,0,0,0,1.21,1.47,0,0.82,2.16,1.2,0,0.62,0.01,0,1.79,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
neutral,2,00008.jpg,0,0,0.05,0,1.05,1.27,0,0.66,1.64,0.6,0,1.15,0.01,0.21,1.68,0.36,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
neutral,2,00009.jpg,0,0,0.5,0,1.05,1.57,0,0.62,0.71,0.38,0,1.56,0.01,0.29,1.62,1.15,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0
happiness,0,00010.jpg,0,0,0.5,0,1.73,1.84,0,1.14,1.33,0.71,0,0.94,0,0.29,2.2,1.15,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
happiness,0,00011.jpg,0.17,0,0.45,0,1.8,2.66,0.16,1.35,1.33,0.92,0,0.7,0.18,0.07,1.63,0.79,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0
neutral,2,00012.jpg,0.24,0,0.08,0.28,1.21,1.61,0.16,1,1,0.75,0,0.29,0.18,0,0.98,0,0.17,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0
neutral,2,00013.jpg,0.24,0,0.7,0.28,0.43,0.9,0.16,1.21,0.53,0.92,0,0.39,0.18,0.04,0.97,0.55,0.41,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
happiness,0,00014.jpg,0.14,0,0.7,0.38,0.37,0.08,0,1.19,0.74,1.31,0,0.99,0,0.04,1.3,0.58,0.93,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
neutral,2,00015.jpg,0.07,0,0.62,0.1,0.37,0.26,0,1.19,0.89,1.47,0,1.2,0,0.04,1.24,0.78,0.83,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
neutral,2,00016.jpg,0.07,0,0,0.1,0,0.17,0.03,0.45,0.37,1.17,0.36,1.28,0,0,0.34,0.23,0.8,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
neutral,2,00017.jpg,0,0,0,0.17,0.08,0.17,0.03,0,0.15,0.58,0.89,0.94,0,0,0.15,0.39,0.35,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
neutral,2,00018.jpg,0,0,0,0.17,0.17,0.22,0.03,0.2,0,0.23,0.89,1.62,0,0.13,0.15,0.2,0.28,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,00019.jpg,0,0,0,0.17,0.19,0.22,0,0.24,0.37,0.09,0.96,2.05,0,0.56,0.15,0.72,0.07,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
happiness,0,00020.jpg,0,0,0.31,0,0.1,0.25,0,0.88,0.73,0.16,2.07,2.48,0.2,0.56,0,0.76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,00021.jpg,0,0,0.57,0,0.06,0.03,0,1.78,0.74,1.19,2.16,2.34,0.41,0.66,0,0.9,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
happiness,0,00022.jpg,0.17,0,0.7,0,0.04,0.03,0,1.91,0.38,1.66,1.9,2.14,0.41,0.23,0.32,0.47,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,00023.jpg,0.19,0,0.44,0,0.04,0,0,1.51,0.02,1.55,0.96,2.5,0.32,0.23,0.32,0.22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,00024.jpg,1.27,0,0.18,0,0,0,0,0.42,0,0.53,1.43,3.08,0.12,0,0.32,0.09,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,00025.jpg,1.09,0,0.29,0,0,0,0,0.25,0.09,0.23,1.25,3.57,0.12,0.79,0,0,0.43,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
